完成度     	筹集款         	项目时间    	项目名称                	项目地址                                    
158%/已达 	￥158404/已筹  	0天/剩余时间 	M100炫酷原木耳机          	http://z.jd.com/project/details/82864.html
166%/已达 	￥166130/已筹  	0天/剩余时间 	提高动手思考能力的新早教机       	http://z.jd.com/project/details/82839.html
299%/已达 	￥298972/已筹  	0天/剩余时间 	大蘑头-硕而博Ⅱ代灭蚊灯        	http://z.jd.com/project/details/82838.html
107%/已达 	￥107446/已筹  	0天/剩余时间 	固安捷铝合金汽车防撞梁         	http://z.jd.com/project/details/82835.html
255%/已达 	￥255089/已筹  	0天/剩余时间 	安力狮云智能锁 指纹密码锁       	http://z.jd.com/project/details/82827.html
178%/已达 	￥177734/已筹  	0天/剩余时间 	驰客K9便携式折叠电动车        	http://z.jd.com/project/details/82826.html
178%/已达 	￥267260/已筹  	0天/剩余时间 	德玛龙  墙壁上的干衣机        	http://z.jd.com/project/details/82825.html
320%/已达 	￥159896/已筹  	0天/剩余时间 	一件百“毒”不侵的好T恤        	http://z.jd.com/project/details/82819.html
114%/已达 	￥113915/已筹  	0天/剩余时间 	Apoloe KO电子烟        	http://z.jd.com/project/details/82816.html
103%/已达 	￥51633/已筹   	0天/剩余时间 	孩子不吃蛋，玩蛋神器帮你忙       	http://z.jd.com/project/details/82811.html
364%/已达 	￥182188/已筹  	0天/剩余时间 	 【逛窑记】谢松青·建盏押窑      	http://z.jd.com/project/details/82802.html
215%/已达 	￥107266/已筹  	0天/剩余时间 	男戴观音女戴佛—和田玉牌        	http://z.jd.com/project/details/82771.html
270%/已达 	￥269542/已筹  	0天/剩余时间 	一只会功夫的杯子，茶杯革命       	http://z.jd.com/project/details/82768.html
122%/已达 	￥121600/已筹  	0天/剩余时间 	科技革命，苹果也能双卡双待       	http://z.jd.com/project/details/82766.html
235%/已达 	￥234799/已筹  	0天/剩余时间 	小虎牙儿童智能电动牙刷         	http://z.jd.com/project/details/82764.html
1354%/已达	￥1353902/已筹 	0天/剩余时间 	魔王杯-激活你的魔王高潮        	http://z.jd.com/project/details/82754.html
1075%/已达	￥1075126/已筹 	0天/剩余时间 	智能杀菌消毒内裤洗护机         	http://z.jd.com/project/details/82752.html
248%/已达 	￥124100/已筹  	0天/剩余时间 	夏日冰爽功能POLO          	http://z.jd.com/project/details/82748.html
108%/已达 	￥53955/已筹   	0天/剩余时间 	前所未见的多功能PC旅行箱       	http://z.jd.com/project/details/82728.html
111%/已达 	￥111388/已筹  	0天/剩余时间 	逸-体感电动滑板            	http://z.jd.com/project/details/82713.html
500%/已达 	￥500021/已筹  	0天/剩余时间 	“蛋仔”儿童智能机器人         	http://z.jd.com/project/details/82710.html
124%/已达 	￥123925/已筹  	0天/剩余时间 	苹果扩容手机套，超薄易拆        	http://z.jd.com/project/details/82682.html
580%/已达 	￥289919/已筹  	0天/剩余时间 	150d密度•缓解颈椎疼痛       	http://z.jd.com/project/details/82665.html
165%/已达 	￥164560/已筹  	0天/剩余时间 	艾德沃德 智能指纹门锁         	http://z.jd.com/project/details/82663.html
189%/已达 	￥188995/已筹  	0天/剩余时间 	安必洁抗菌智能马桶盖          	http://z.jd.com/project/details/82662.html
118%/已达 	￥11789/已筹   	0天/剩余时间 	灯泡人 创意设计陪伴灯         	http://z.jd.com/project/details/82660.html
132%/已达 	￥395931/已筹  	0天/剩余时间 	突破视界  全息AR眼镜        	http://z.jd.com/project/details/82654.html
117%/已达 	￥584696/已筹  	0天/剩余时间 	感知型机器人总动员 咕力咕力      	http://z.jd.com/project/details/82652.html
243%/已达 	￥1212568/已筹 	0天/剩余时间 	AirBook 轻薄笔记本       	http://z.jd.com/project/details/82642.html
118%/已达 	￥58820/已筹   	0天/剩余时间 	秒开速搭 便携夏日露营帐篷       	http://z.jd.com/project/details/82634.html
1358%/已达	￥1357750/已筹 	0天/剩余时间 	智能手表户外运动领航者         	http://z.jd.com/project/details/82624.html
16732%/已达	￥836591/已筹  	0天/剩余时间 	不粘牙的黄桃干,酸甜Q软        	http://z.jd.com/project/details/82622.html
100%/已达 	￥50245/已筹   	0天/剩余时间 	木雕扳指 信也系列           	http://z.jd.com/project/details/82620.html
434%/已达 	￥130094/已筹  	0天/剩余时间 	百余种食材的素食能量全餐        	http://z.jd.com/project/details/82618.html
102%/已达 	￥102282/已筹  	0天/剩余时间 	物理抗摔手机壳 放肆地摔吧       	http://z.jd.com/project/details/82614.html
101%/已达 	￥100840/已筹  	0天/剩余时间 	小微智能家用机器人           	http://z.jd.com/project/details/82609.html
366%/已达 	￥365949/已筹  	0天/剩余时间 	南部铁器古法纯铁三件套装        	http://z.jd.com/project/details/82604.html
103%/已达 	￥308634/已筹  	0天/剩余时间 	石墨烯闪电充第二代强势回归       	http://z.jd.com/project/details/82599.html
513%/已达 	￥513304/已筹  	0天/剩余时间 	晓哆智能音乐护颈枕           	http://z.jd.com/project/details/82597.html
416%/已达 	￥208233/已筹  	0天/剩余时间 	林德匠兮情侣DIY时尚眼镜       	http://z.jd.com/project/details/82593.html
132%/已达 	￥263858/已筹  	0天/剩余时间 	狮童光环系列狮子座云智能锁       	http://z.jd.com/project/details/82571.html
168%/已达 	￥50319/已筹   	0天/剩余时间 	一手油-微山湖烤咸鸭蛋         	http://z.jd.com/project/details/82570.html
726%/已达 	￥725981/已筹  	0天/剩余时间 	一款便携个人式微型冷气机        	http://z.jd.com/project/details/82554.html
613%/已达 	￥306334/已筹  	0天/剩余时间 	80周年 军工熊猫望远镜        	http://z.jd.com/project/details/82550.html
118%/已达 	￥117973/已筹  	0天/剩余时间 	HIDC智能蓝牙手写宝         	http://z.jd.com/project/details/82545.html
113%/已达 	￥113195/已筹  	0天/剩余时间 	澄星智能佩戴腕表自拍无人机       	http://z.jd.com/project/details/82542.html
109%/已达 	￥54497/已筹   	0天/剩余时间 	单丛有机茶               	http://z.jd.com/project/details/82537.html
103%/已达 	￥51591/已筹   	0天/剩余时间 	手造之美—中国印            	http://z.jd.com/project/details/82530.html
121%/已达 	￥121149/已筹  	0天/剩余时间 	全彩4K电波时间温湿度计        	http://z.jd.com/project/details/82522.html
133%/已达 	￥132702/已筹  	0天/剩余时间 	光影魔棒--超便携投影仪        	http://z.jd.com/project/details/82521.html
658%/已达 	￥657515/已筹  	0天/剩余时间 	360°自由调光折叠摄影棚       	http://z.jd.com/project/details/82503.html
104%/已达 	￥103715/已筹  	0天/剩余时间 	可以做地垫的防水背包          	http://z.jd.com/project/details/82467.html
116%/已达 	￥116455/已筹  	0天/剩余时间 	全天候晴雨衣-时尚骑行         	http://z.jd.com/project/details/82451.html
181%/已达 	￥180880/已筹  	0天/剩余时间 	360°紫外线杀菌除螨灯        	http://z.jd.com/project/details/82450.html
610%/已达 	￥609945/已筹  	0天/剩余时间 	好路导 抬头显示导航魔镜        	http://z.jd.com/project/details/82439.html
142%/已达 	￥71179/已筹   	0天/剩余时间 	许小蘑-潘多拉蘑盒           	http://z.jd.com/project/details/82424.html
983%/已达 	￥491599/已筹  	0天/剩余时间 	一款神奇的男人美胸速成神器       	http://z.jd.com/project/details/82395.html
615%/已达 	￥307300/已筹  	0天/剩余时间 	千变万化之原矿绞泥紫砂壶        	http://z.jd.com/project/details/82393.html
106%/已达 	￥105612/已筹  	0天/剩余时间 	名医看牙 全年口腔保护套餐       	http://z.jd.com/project/details/82378.html
499%/已达 	￥499135/已筹  	0天/剩余时间 	无线生活美学灯             	http://z.jd.com/project/details/82373.html
151%/已达 	￥151265/已筹  	0天/剩余时间 	烟机灶具消毒柜-惠普生组合       	http://z.jd.com/project/details/82365.html
263%/已达 	￥262968/已筹  	0天/剩余时间 	山人GPS智能码灯 燃爆夜骑      	http://z.jd.com/project/details/82363.html
176%/已达 	￥176094/已筹  	0天/剩余时间 	AAW Hi-Fi耳机线        	http://z.jd.com/project/details/82359.html
705%/已达 	￥352594/已筹  	0天/剩余时间 	中国铁壶 王禅居非遗手工壶       	http://z.jd.com/project/details/82343.html
141%/已达 	￥282458/已筹  	0天/剩余时间 	威神智能蓝牙键盘皮套          	http://z.jd.com/project/details/82338.html
103%/已达 	￥103134/已筹  	0天/剩余时间 	艾优贝斯特库特车-箱随有我       	http://z.jd.com/project/details/82336.html
601%/已达 	￥601226/已筹  	0天/剩余时间 	泼不脏的车漆镀膜-变形金刚       	http://z.jd.com/project/details/82334.html
144%/已达 	￥144083/已筹  	0天/剩余时间 	720度全视角全景相机         	http://z.jd.com/project/details/82330.html
2045%/已达	￥1022487/已筹 	0天/剩余时间 	10天免洗 消臭抗菌潮袜        	http://z.jd.com/project/details/82326.html
196%/已达 	￥195893/已筹  	0天/剩余时间 	水侦探光谱多参数水质检测笔       	http://z.jd.com/project/details/82303.html
102%/已达 	￥512333/已筹  	0天/剩余时间 	uini智能月球台灯 多彩       	http://z.jd.com/project/details/82299.html
102%/已达 	￥10226/已筹   	0天/剩余时间 	一部送给热血少年的科幻大剧       	http://z.jd.com/project/details/82296.html
1213%/已达	￥1212572/已筹 	0天/剩余时间 	脉冲飞机杯 模拟撞击的高潮       	http://z.jd.com/project/details/82248.html
881%/已达 	￥881256/已筹  	0天/剩余时间 	SmartS1智能手表带        	http://z.jd.com/project/details/82236.html
1138%/已达	￥568822/已筹  	0天/剩余时间 	汽车杀菌除味喷雾            	http://z.jd.com/project/details/82235.html
292%/已达 	￥145947/已筹  	0天/剩余时间 	路易宝士健康红茶            	http://z.jd.com/project/details/82222.html
120%/已达 	￥59838/已筹   	0天/剩余时间 	不弯腰自动套袋的道拓垃圾桶       	http://z.jd.com/project/details/82220.html
123%/已达 	￥122934/已筹  	0天/剩余时间 	柏路仕汽车香水  把玩摆件       	http://z.jd.com/project/details/82218.html
102%/已达 	￥101894/已筹  	0天/剩余时间 	寒地黑土 五谷杂粮           	http://z.jd.com/project/details/82188.html
186%/已达 	￥185503/已筹  	0天/剩余时间 	手机卫士-黑科技钢化膜         	http://z.jd.com/project/details/82174.html
1415%/已达	￥1414700/已筹 	0天/剩余时间 	己匠家居美学灭蚊台灯          	http://z.jd.com/project/details/82164.html
113%/已达 	￥56458/已筹   	0天/剩余时间 	智汇秀 旋磁净化水素机         	http://z.jd.com/project/details/82094.html
1156%/已达	￥1155606/已筹 	0天/剩余时间 	雨斗士防雨喷雾             	http://z.jd.com/project/details/82089.html
109%/已达 	￥108786/已筹  	0天/剩余时间 	逸佳人直饮净水器            	http://z.jd.com/project/details/82052.html
9175%/已达	￥917546/已筹  	0天/剩余时间 	龙泉战剑-军工级百炼钢宝剑       	http://z.jd.com/project/details/82032.html
114%/已达 	￥113500/已筹  	0天/剩余时间 	意大利黑科技养生锅           	http://z.jd.com/project/details/82030.html
114%/已达 	￥57013/已筹   	0天/剩余时间 	木吻银 小叶紫檀            	http://z.jd.com/project/details/82027.html
593%/已达 	￥593362/已筹  	0天/剩余时间 	iMCO、这才是全智能手表       	http://z.jd.com/project/details/82019.html
415%/已达 	￥414562/已筹  	0天/剩余时间 	大蚁-祛石杀菌悬浮动力牙刷       	http://z.jd.com/project/details/81995.html
466%/已达 	￥466127/已筹  	0天/剩余时间 	色彩增强太阳镜             	http://z.jd.com/project/details/81988.html
101%/已达 	￥101032/已筹  	0天/剩余时间 	Yo控智能红外遥控器          	http://z.jd.com/project/details/81975.html
110%/已达 	￥55034/已筹   	0天/剩余时间 	崖柏 太行山崖柏养命神木        	http://z.jd.com/project/details/81869.html
124%/已达 	￥62075/已筹   	0天/剩余时间 	橄榄核雕，手中的非遗文化。       	http://z.jd.com/project/details/81818.html
102%/已达 	￥51070/已筹   	0天/剩余时间 	珠峰级工艺茶器-破晓茶器        	http://z.jd.com/project/details/81809.html
104%/已达 	￥103937/已筹  	0天/剩余时间 	信社无线手持吸尘器           	http://z.jd.com/project/details/81790.html
404%/已达 	￥2021744/已筹 	0天/剩余时间 	哆宝魔镜AR早教机           	http://z.jd.com/project/details/81764.html
154%/已达 	￥15424/已筹   	0天/剩余时间 	佛香天逸全铜《四大天王》        	http://z.jd.com/project/details/81751.html
152%/已达 	￥151627/已筹  	0天/剩余时间 	CLICK时光之雾电子烟        	http://z.jd.com/project/details/81738.html
111%/已达 	￥110882/已筹  	0天/剩余时间 	全球通用转换插头USB         	http://z.jd.com/project/details/81668.html
412%/已达 	￥412324/已筹  	0天/剩余时间 	蛮豆多功能移动车篷           	http://z.jd.com/project/details/81655.html
104%/已达 	￥51978/已筹   	0天/剩余时间 	岂止于大，瓢王经典重现         	http://z.jd.com/project/details/81646.html
1095%/已达	￥1094943/已筹 	0天/剩余时间 	太空舱迷你蓝牙耳机超长续航       	http://z.jd.com/project/details/81638.html
141%/已达 	￥140775/已筹  	0天/剩余时间 	全智机器人，幼儿编程初体验       	http://z.jd.com/project/details/81620.html
116%/已达 	￥116214/已筹  	0天/剩余时间 	新物种iKF分离式无线耳机       	http://z.jd.com/project/details/81604.html
395%/已达 	￥395354/已筹  	0天/剩余时间 	医用智能耳温计             	http://z.jd.com/project/details/81574.html
157%/已达 	￥47128/已筹   	0天/剩余时间 	纯手工菊花酱 好吃不上火        	http://z.jd.com/project/details/81557.html
218%/已达 	￥109182/已筹  	0天/剩余时间 	立练练字套装 展现汉字之美       	http://z.jd.com/project/details/81539.html
286%/已达 	￥143143/已筹  	0天/剩余时间 	国宝馆藏宋元明清名瓷重器        	http://z.jd.com/project/details/81534.html
1441%/已达	￥1441039/已筹 	0天/剩余时间 	指纹识别  潮拍旅行箱         	http://z.jd.com/project/details/81470.html
231%/已达 	￥230936/已筹  	0天/剩余时间 	舒仕逸 久坐办公舒适椅         	http://z.jd.com/project/details/81469.html
151%/已达 	￥1507008/已筹 	0天/剩余时间 	仙萌系列│仙剑四Q版手办        	http://z.jd.com/project/details/81467.html
108%/已达 	￥21641/已筹   	0天/剩余时间 	末日浩劫3.0扩展三合一        	http://z.jd.com/project/details/81466.html
151%/已达 	￥75319/已筹   	0天/剩余时间 	一款会呼吸的德国黑科技T恤       	http://z.jd.com/project/details/81450.html
321%/已达 	￥64151/已筹   	0天/剩余时间 	玉见时尚，为爱加冕           	http://z.jd.com/project/details/81427.html
108%/已达 	￥107965/已筹  	0天/剩余时间 	Hibou智慧母婴助眠灯        	http://z.jd.com/project/details/81413.html
507%/已达 	￥1014057/已筹 	0天/剩余时间 	水分子音乐补水加湿香薰机        	http://z.jd.com/project/details/81399.html
108%/已达 	￥108370/已筹  	0天/剩余时间 	惠普生-懂你的燃气热水器        	http://z.jd.com/project/details/81357.html
112%/已达 	￥56115/已筹   	0天/剩余时间 	德钟壶-原创宜兴紫砂壶         	http://z.jd.com/project/details/81355.html
243%/已达 	￥242762/已筹  	0天/剩余时间 	67℃蛋机 一键烹煮温泉蛋       	http://z.jd.com/project/details/81346.html
107%/已达 	￥107482/已筹  	0天/剩余时间 	足底减压神器-平衡道足垫        	http://z.jd.com/project/details/81334.html
148%/已达 	￥148048/已筹  	0天/剩余时间 	优山美地花卉负离子净化器        	http://z.jd.com/project/details/81312.html
252%/已达 	￥252195/已筹  	0天/剩余时间 	ARROW轻奢超光智能手表       	http://z.jd.com/project/details/81311.html
227%/已达 	￥227050/已筹  	0天/剩余时间 	轻出行 与众不同的智能背包       	http://z.jd.com/project/details/81303.html
389%/已达 	￥116675/已筹  	0天/剩余时间 	名家万广辉书法禅意催财旺运       	http://z.jd.com/project/details/81284.html
134%/已达 	￥66835/已筹   	0天/剩余时间 	神农陶柴烧茶具             	http://z.jd.com/project/details/81273.html
274%/已达 	￥137200/已筹  	0天/剩余时间 	江湖茶尊，拎壶冲千年古树茶       	http://z.jd.com/project/details/81238.html
101%/已达 	￥100588/已筹  	0天/剩余时间 	植物染婴儿礼盒套装           	http://z.jd.com/project/details/81237.html
327%/已达 	￥327183/已筹  	0天/剩余时间 	送给眼睛的智能“保姆”         	http://z.jd.com/project/details/81219.html
134%/已达 	￥133682/已筹  	0天/剩余时间 	4岁用到10岁的教育机器人       	http://z.jd.com/project/details/81215.html
1130%/已达	￥1129591/已筹 	0天/剩余时间 	中华麦饭石新石器随手水杯        	http://z.jd.com/project/details/81211.html
123%/已达 	￥123209/已筹  	0天/剩余时间 	深皇“卫蓝”无菌防水床垫        	http://z.jd.com/project/details/81138.html
101%/已达 	￥101218/已筹  	0天/剩余时间 	iBaby Air宝宝看护       	http://z.jd.com/project/details/81117.html
330%/已达 	￥99062/已筹   	0天/剩余时间 	锦鲤精酿啤酒  唐卡·小麦       	http://z.jd.com/project/details/81115.html
102%/已达 	￥10167/已筹   	0天/剩余时间 	陈波名家书法真迹限量供应        	http://z.jd.com/project/details/81112.html
474%/已达 	￥237043/已筹  	0天/剩余时间 	出门不怕雨，手作多功能背包       	http://z.jd.com/project/details/81075.html
109%/已达 	￥108960/已筹  	0天/剩余时间 	出云儿童安全插座            	http://z.jd.com/project/details/81048.html
108%/已达 	￥54171/已筹   	0天/剩余时间 	哐叽art，碎成艺术的科技       	http://z.jd.com/project/details/81007.html
861%/已达 	￥861294/已筹  	0天/剩余时间 	JKOM人体体质智能分析仪       	http://z.jd.com/project/details/80982.html
112%/已达 	￥112232/已筹  	0天/剩余时间 	云米超级厨房              	http://z.jd.com/project/details/80968.html
1945%/已达	￥1944714/已筹 	0天/剩余时间 	FITPAD科技健肌仪         	http://z.jd.com/project/details/80941.html
259%/已达 	￥259295/已筹  	0天/剩余时间 	全新一代迈腾 领世登场         	http://z.jd.com/project/details/80914.html
3179%/已达	￥3178555/已筹 	0天/剩余时间 	Umay，跑步机界的清流        	http://z.jd.com/project/details/80863.html
213%/已达 	￥212720/已筹  	0天/剩余时间 	甜爱路情趣全能棒            	http://z.jd.com/project/details/80861.html
755%/已达 	￥754536/已筹  	0天/剩余时间 	Airknife陶瓷主厨刀       	http://z.jd.com/project/details/80834.html
121%/已达 	￥12065/已筹   	0天/剩余时间 	闪购微笑之行，小爱温暖贵州       	http://z.jd.com/project/details/80792.html
279%/已达 	￥278660/已筹  	0天/剩余时间 	OLA室内木门指纹锁-i2       	http://z.jd.com/project/details/80776.html
571%/已达 	￥285258/已筹  	0天/剩余时间 	比大牌用料更大牌的牛皮背包       	http://z.jd.com/project/details/80748.html
100%/已达 	￥100014/已筹  	0天/剩余时间 	背爽，夏天吹风，冬天加热包       	http://z.jd.com/project/details/80744.html
553%/已达 	￥553288/已筹  	0天/剩余时间 	千里目护眼灯LED学习台灯       	http://z.jd.com/project/details/80732.html
737%/已达 	￥36832/已筹   	0天/剩余时间 	纯手工 红薯粉条            	http://z.jd.com/project/details/80713.html
2488%/已达	￥1244051/已筹 	0天/剩余时间 	磁能科技健身衣 激发潜能        	http://z.jd.com/project/details/80566.html
166%/已达 	￥49705/已筹   	0天/剩余时间 	釉色三国 窑变功夫茶杯         	http://z.jd.com/project/details/80480.html
112%/已达 	￥111757/已筹  	0天/剩余时间 	简艺新一代安全淋浴房          	http://z.jd.com/project/details/80436.html
196%/已达 	￥58943/已筹   	0天/剩余时间 	有料、有故事的襄阳牛肉面        	http://z.jd.com/project/details/80376.html
159%/已达 	￥79347/已筹   	0天/剩余时间 	砀山黄桃罐头              	http://z.jd.com/project/details/80255.html
111%/已达 	￥111459/已筹  	0天/剩余时间 	洁美克除炭爽·发动机养护剂       	http://z.jd.com/project/details/80236.html
126%/已达 	￥126173/已筹  	0天/剩余时间 	傲胜可换线蓝牙动铁监听耳机       	http://z.jd.com/project/details/80220.html
119%/已达 	￥118667/已筹  	0天/剩余时间 	极光尔沃A4出彩3D打印机       	http://z.jd.com/project/details/80201.html
1138%/已达	￥1138400/已筹 	0天/剩余时间 	飞行员款近视墨镜            	http://z.jd.com/project/details/80175.html
601%/已达 	￥3005838/已筹 	0天/剩余时间 	微单V1折叠锂电车           	http://z.jd.com/project/details/80139.html
2671%/已达	￥133549/已筹  	0天/剩余时间 	龙鱼指甲X套装             	http://z.jd.com/project/details/80038.html
2122%/已达	￥636578/已筹  	0天/剩余时间 	醉鹅娘 众筹红酒送酒柜         	http://z.jd.com/project/details/79950.html
242%/已达 	￥120935/已筹  	0天/剩余时间 	花丝镶嵌点翠耳饰            	http://z.jd.com/project/details/79905.html
166%/已达 	￥33149/已筹   	0天/剩余时间 	《旅居中国-体验民宿之美》       	http://z.jd.com/project/details/79862.html
178%/已达 	￥14239/已筹   	0天/剩余时间 	新疆阿克苏鹰嘴豆            	http://z.jd.com/project/details/79831.html
510%/已达 	￥510370/已筹  	0天/剩余时间 	万达康马甲线塑腰机           	http://z.jd.com/project/details/79724.html
270%/已达 	￥270431/已筹  	0天/剩余时间 	智能健康伺服药盒            	http://z.jd.com/project/details/79507.html
110%/已达 	￥54832/已筹   	0天/剩余时间 	原创紫砂壶茶具-高温柴烧套       	http://z.jd.com/project/details/79478.html
217%/已达 	￥43381/已筹   	0天/剩余时间 	新疆阿克苏红枣             	http://z.jd.com/project/details/79430.html
119%/已达 	￥59282/已筹   	0天/剩余时间 	紫玉金砂 祥运满壶           	http://z.jd.com/project/details/79412.html
123%/已达 	￥122612/已筹  	0天/剩余时间 	指纹防盗智慧出行伴侣          	http://z.jd.com/project/details/79263.html
155%/已达 	￥155188/已筹  	0天/剩余时间 	消毒便携筷，暖手充电宝         	http://z.jd.com/project/details/79247.html
963%/已达 	￥9625114/已筹 	0天/剩余时间 	奔驰GLS400平行进口车       	http://z.jd.com/project/details/79186.html
104%/已达 	￥207359/已筹  	0天/剩余时间 	乐家娜瑞，免打孔安装淋浴房       	http://z.jd.com/project/details/79058.html
153%/已达 	￥152782/已筹  	0天/剩余时间 	千年传承，龙泉剑—江湖情        	http://z.jd.com/project/details/78994.html
125%/已达 	￥124677/已筹  	0天/剩余时间 	锦鲤便当盒               	http://z.jd.com/project/details/78785.html
164%/已达 	￥16437/已筹   	0天/剩余时间 	知玉存真 和田玉多用途耳坠       	http://z.jd.com/project/details/78724.html
101%/已达 	￥100549/已筹  	0天/剩余时间 	负离子护眼LED艺术台灯        	http://z.jd.com/project/details/78705.html
106%/已达 	￥105750/已筹  	0天/剩余时间 	锋影二代智能移动电源          	http://z.jd.com/project/details/78366.html
101%/已达 	￥1009078/已筹 	0天/剩余时间 	采自千年古茶树的普安红茶        	http://z.jd.com/project/details/78210.html
414%/已达 	￥207229/已筹  	0天/剩余时间 	考工志长款多功能钱夹          	http://z.jd.com/project/details/78095.html
100%/已达 	￥50048/已筹   	0天/剩余时间 	闪电talk线上学习平台        	http://z.jd.com/project/details/77651.html
140%/已达 	￥139694/已筹  	0天/剩余时间 	OD智能温感不粘锅           	http://z.jd.com/project/details/77301.html
110%/已达 	￥109617/已筹  	0天/剩余时间 	现代航空铝多功能家用音响        	http://z.jd.com/project/details/77080.html
156%/已达 	￥1307716/已筹 	0天/剩余时间 	《秦时明月》少司命手办         	http://z.jd.com/project/details/76926.html
101%/已达 	￥100558/已筹  	0天/剩余时间 	水族箱智能喂食器            	http://z.jd.com/project/details/76794.html
103%/已达 	￥103176/已筹  	0天/剩余时间 	魔秘 懂脚的智能鞋           	http://z.jd.com/project/details/76624.html
137%/已达 	￥136912/已筹  	0天/剩余时间 	贝板 没有屏幕的智能平板        	http://z.jd.com/project/details/76535.html
163%/已达 	￥81392/已筹   	0天/剩余时间 	时光之笔                	http://z.jd.com/project/details/76505.html
100%/已达 	￥100040/已筹  	0天/剩余时间 	自加热饭盒 走到哪都有热饭       	http://z.jd.com/project/details/75696.html
102%/已达 	￥100009/已筹  	0天/剩余时间 	 智能双臂电子血压计          	http://z.jd.com/project/details/75214.html
118%/已达 	￥117658/已筹  	0天/剩余时间 	一箱水，居然能画画           	http://z.jd.com/project/details/75139.html
163%/已达 	￥163106/已筹  	0天/剩余时间 	奎虎Wifi智能存储器         	http://z.jd.com/project/details/74998.html
391%/已达 	￥39053/已筹   	0天/剩余时间 	“求暖爪”救助流浪猫行动2       	http://z.jd.com/project/details/73897.html
262%/已达 	￥26234/已筹   	0天/剩余时间 	MYROLLER震动泡沫轴       	http://z.jd.com/project/details/73789.html
2372%/已达	￥2372189/已筹 	0天/剩余时间 	睿卡非洲鼓艺术教室           	http://z.jd.com/project/details/72933.html
120%/已达 	￥11965/已筹   	0天/剩余时间 	潮汕书画艺术馆 山水画众筹       	http://z.jd.com/project/details/72070.html
102%/已达 	￥101780/已筹  	0天/剩余时间 	小安智能便携空气检测仪         	http://z.jd.com/project/details/72005.html
100%/已达 	￥100033/已筹  	0天/剩余时间 	ZL防窃能量双肩包           	http://z.jd.com/project/details/70688.html
105%/已达 	￥21001/已筹   	0天/剩余时间 	和暖阳一起为孩子建设篮球场       	http://z.jd.com/project/details/67664.html
208%/已达 	￥10389194/已筹	0天/剩余时间 	小鸟客厅影院K1            	http://z.jd.com/project/details/67451.html
250%/已达 	￥12477/已筹   	0天/剩余时间 	爱心助学家贫懂事娃           	http://z.jd.com/project/details/66736.html
1916%/已达	￥1916137/已筹 	0天/剩余时间 	IMMOTOR智能微电动车       	http://z.jd.com/project/details/66525.html
370%/已达 	￥369535/已筹  	0天/剩余时间 	Jensor折叠电动滑板车       	http://z.jd.com/project/details/65811.html
1011%/已达	￥101139636/已筹	0天/剩余时间 	PowerEgg无人机         	http://z.jd.com/project/details/65565.html
115%/已达 	￥3453/已筹    	0天/剩余时间 	萤火虫行动——照亮书桌项目       	http://z.jd.com/project/details/65199.html
169%/已达 	￥16924353/已筹	0天/剩余时间 	FIIL DIVA智能耳机       	http://z.jd.com/project/details/64830.html
1404%/已达	￥140427/已筹  	0天/剩余时间 	南方水灾 有你救有力量         	http://z.jd.com/project/details/63551.html
195%/已达 	￥19544/已筹   	0天/剩余时间 	捐助武汉暴雨洪涝受灾群众        	http://z.jd.com/project/details/62781.html
134%/已达 	￥133711/已筹  	0天/剩余时间 	智能制衣Smart Fit       	http://z.jd.com/project/details/62612.html
118%/已达 	￥59098/已筹   	0天/剩余时间 	姜小虎带游ChinaJoy       	http://z.jd.com/project/details/61488.html
170%/已达 	￥16953/已筹   	0天/剩余时间 	阜宁风暴，吹不走你我的真情       	http://z.jd.com/project/details/61164.html
105%/已达 	￥84157/已筹   	0天/剩余时间 	我不想一个人去北京化疗         	http://z.jd.com/project/details/58729.html
124%/已达 	￥12417/已筹   	0天/剩余时间 	一封给爸爸的信             	http://z.jd.com/project/details/57627.html
102%/已达 	￥101597/已筹  	0天/剩余时间 	少年派奇幻帆船夏令营          	http://z.jd.com/project/details/52924.html
145%/已达 	￥144589/已筹  	0天/剩余时间 	火眼镜镜-户外直播智能眼镜       	http://z.jd.com/project/details/52484.html
106%/已达 	￥528532/已筹  	0天/剩余时间 	青音魔法学院成为更好的自己       	http://z.jd.com/project/details/42550.html
2336%/已达	￥2336474/已筹 	0天/剩余时间 	腾讯神眼 守护你的驾驶安全       	http://z.jd.com/project/details/42156.html
444%/已达 	￥44379/已筹   	0天/剩余时间 	秦岭北麓农场一果一蔬一田园       	http://z.jd.com/project/details/41498.html
259%/已达 	￥25865/已筹   	0天/剩余时间 	下学期她还能坐在教室里吗？       	http://z.jd.com/project/details/40970.html
161%/已达 	￥80507/已筹   	0天/剩余时间 	众筹一部疯魔的电影           	http://z.jd.com/project/details/40821.html
103%/已达 	￥103108/已筹  	0天/剩余时间 	《千年国医》，注定创造历史       	http://z.jd.com/project/details/31695.html
138%/已达 	￥68871/已筹   	0天/剩余时间 	水真清净水器 水族净水利器       	http://z.jd.com/project/details/29553.html
1167%/已达	￥583692/已筹  	0天/剩余时间 	麦开智能随行杯Seed         	http://z.jd.com/project/details/24647.html
302%/已达 	￥1508107/已筹 	0天/剩余时间 	极加果核家庭多功能音响         	http://z.jd.com/project/details/23874.html
123%/已达 	￥123328/已筹  	0天/剩余时间 	witome智能沙发床         	http://z.jd.com/project/details/21652.html
100%/已达 	￥100097/已筹  	0天/剩余时间 	小易魔术相机，萌物来袭         	http://z.jd.com/project/details/20214.html
